index,ingredient_a,ingredient_b,substitution_direction,similarity_score,substitution_reason
92,곤약면,파스타 면,곤약면 → 파스타 면,0.65,포만감 증가
93,감자,콜리플라워,감자 → 콜리플라워,0.6,칼로리 절감
94,콜리플라워,감자,콜리플라워 → 감자,0.6,풍미 증진
95,감자,무,감자 → 무,0.5,저탄수화물
96,무,감자,무 → 감자,0.5,감칠맛 향상
97,피자 도우,콜리플라워 도우,피자 도우 → 콜리플라워 도우,0.7,저탄수화물
98,콜리플라워 도우,피자 도우,콜리플라워 도우 → 피자 도우,0.7,식감 향상
99,라자냐 면,가지,라자냐 면 → 가지,0.6,저탄수화물
100,가지,라자냐 면,가지 → 라자냐 면,0.6,식감 향상
101,젤라틴,한천,젤라틴 → 한천,0.8,비건 대체
102,한천,젤라틴,한천 → 젤라틴,0.8,질감 향상
103,파마산 치즈,영양효모,파마산 치즈 → 영양효모,0.75,비건 대체
104,영양효모,파마산 치즈,영양효모 → 파마산 치즈,0.75,풍미 향상
105,밀크초콜릿,다크초콜릿,밀크초콜릿 → 다크초콜릿,0.8,당분 제한
106,다크초콜릿,밀크초콜릿,다크초콜릿 → 밀크초콜릿,0.8,단맛 증가
107,카카오 가루,캐롭 가루,카카오 가루 → 캐롭 가루,0.7,카페인 제한
108,캐롭 가루,카카오 가루,캐롭 가루 → 카카오 가루,0.7,풍미 증대
109,땅콩버터,아몬드버터,땅콩버터 → 아몬드버터,0.9,알레르기 대체
110,아몬드버터,땅콩버터,아몬드버터 → 땅콩버터,0.9,취향
111,식용유,올리브유,식용유 → 올리브유,0.85,건강한 지방
112,올리브유,식용유,올리브유 → 식용유,0.85,비용 절감
113,사프란,강황,사프란 → 강황,0.5,비용 절감
114,강황,사프란,강황 → 사프란,0.5,풍미 향상
115,잣,호두,잣 → 호두,0.8,비용 절감
116,호두,잣,호두 → 잣,0.8,풍미 향상
117,버터,아보카도,버터 → 아보카도,0.6,콜레스테롤 감소
118,아보카도,버터,아보카도 → 버터,0.6,풍미 향상
119,간장,코코넛 아미노,간장 → 코코넛 아미노,0.8,글루텐 프리
120,코코넛 아미노,간장,코코넛 아미노 → 간장,0.8,감칠맛 증진
121,멸치액젓,간장,멸치액젓 → 간장,0.7,채식 대체
122,간장,멸치액젓,간장 → 멸치액젓,0.7,풍미 향상
123,쇠고기 육수,야채 육수,쇠고기 육수 → 야채 육수,0.8,채식 대체
124,야채 육수,쇠고기 육수,야채 육수 → 쇠고기 육수,0.8,풍미 향상
125,멸치 육수,다시마 육수,멸치 육수 → 다시마 육수,0.8,채식 대체
126,다시마 육수,멸치 육수,다시마 육수 → 멸치 육수,0.8,풍미 향상
127,시금치,케일,시금치 → 케일,0.9,영양 강화
128,케일,시금치,케일 → 시금치,0.9,식감 향상
129,마요네즈,머스타드,마요네즈 → 머스타드,0.7,칼로리 절감
130,머스타드,마요네즈,머스타드 → 마요네즈,0.7,감칠맛 향상
131,바닐라 익스트랙,바닐라 빈,바닐라 익스트랙 → 바닐라 빈,0.9,풍미 향상
132,바닐라 빈,바닐라 익스트랙,바닐라 빈 → 바닐라 익스트랙,0.9,비용 절감
